artist_name_rollup,sony_flag,parent_genre,catalog_growth_rate,catalog_momentum_pctile,release_momentum_avg_pct_change,release_momentum_pctile,instagram_1m_growth_rate,ig_growth_pctile,tiktok_1m_growth_rate,tiktok_growth_pctile,ig_engagement_rate,ig_engagement_pctile,tiktok_like_to_view_ratio,tiktok_engagement_pctile,lean_forward_%,lean_forward_pct_pctile,lf_streams_per_listener,lf_streams_per_listener_pctile,core_streaming_age,core_streaming_age_pctile,core_socials_age,core_socials_age_pctile,kpi_count,normalized_score,overall_percentile,overall_rating
Bella Kay,N,Pop,0.6517866024485773,97.0,2.250885472798132,84.0,1.1484899520874,100.0,0.364850997924805,100.0,0.118481306814298,90.0,0.1016738215777,46.0,,,,,,,19.7955182072829,96.0,7,87.57142857142857,100.0,Exceptional
STELLA LEFTY,N,Pop,0.7483738625640366,97.0,16.337909576820696,91.0,0.206527993083,99.0,0.266160994768143,98.0,0.0638201154407256,78.0,0.11511527951526,62.0,,,,,,,24.2354437159898,67.0,7,84.57142857142857,100.0,Exceptional
RAYE,N,Pop,0.45688804474515904,95.0,9.186403761462802,89.0,0.0653050020337105,94.0,0.0294118002057076,84.0,0.140818810275379,93.0,0.124416623315363,67.0,,,,,,,24.956707248663,43.0,7,80.71428571428571,99.0,Excellent
SIENNA SPIRO,N,Pop,0.1388520297679931,90.0,17.96894623394972,92.0,0.127995997667313,98.0,0.100000001490116,95.0,0.084067342365832,84.0,0.160543682705384,90.0,,,,,,,25.9260016459159,24.0,7,81.85714285714286,99.0,Excellent
Girlsweetvoiced,Y,R&B,5.322596050057895,100.0,,,0.754112005233765,100.0,0.314375996589661,99.0,0.559713788071365,100.0,0.175212317774508,93.0,0.68,66.0,6.16,78.0,25.3474952895065,71.0,24.7065718969994,52.0,9,84.33333333333333,99.0,Excellent
Hailey Picardi,Y,Pop,-0.0990228906312132,17.0,-0.15558278948435278,23.0,0.065580703318119,95.0,0.0250783991068602,83.0,0.23137551481576,98.0,0.22667600912433,99.0,0.69,69.0,9.49,93.0,20.8429683195592,99.0,19.6110375096753,100.0,10,77.6,98.0,Excellent
Ninajirachi,N,Dance & Electronic,0.053416997432971736,80.0,1.2575547626868584,76.0,0.125308007001877,98.0,0.126246005296707,97.0,0.148103424178896,94.0,0.140499764262141,78.0,,,,,,,25.3786806877587,31.0,7,79.14285714285714,98.0,Excellent
Dominic Fike,Y,Alternative / Indie,0.5128200179513003,96.0,0.5707317197205973,65.0,,,,,0.0547512599920603,73.0,,,0.63,51.0,8.38,91.0,21.4569823933594,97.0,24.111569905793,70.0,7,77.57142857142857,98.0,Excellent
Ari Abdul,Y,Pop,0.013841469116777088,64.0,0.12198560067864615,42.0,0.0362001992762089,91.0,0.0335949994623661,87.0,0.131548551552003,92.0,0.178939637302143,94.0,0.64,54.0,4.87,66.0,21.5282775459797,95.0,20.0007739358382,87.0,10,77.2,97.0,Excellent
John Michael Howell,N,Christian & Gospel,0.12443475407788358,90.0,0.40038153790633413,58.0,0.0360625982284546,90.0,0.051281999796629,92.0,0.0952829885353127,86.0,0.0953785045374156,43.0,,,,,,,20.1488310933086,78.0,7,76.71428571428571,97.0,Excellent
Asake,N,Afrobeats,0.1050209965738651,88.0,,,0.0172403007745743,84.0,0.277777999639511,99.0,0.050514699394151,71.0,0.175688309644446,93.0,,,,,,,29.0,16.0,6,75.16666666666667,96.0,Excellent
JENNIE,Y,K-Pop,0.09758718187452274,87.0,0.7580487804878049,70.0,0.00186846998985857,57.0,0.0409091003239155,90.0,0.0424514912664195,63.0,0.147524752475248,84.0,0.6,39.0,6.57,82.0,24.1768122225951,78.0,19.7092513338987,99.0,10,74.9,96.0,Excellent
Stray Kids,Y,K-Pop,-0.09662259340902801,18.0,1.2573613232785,75.0,0.00198446004651487,58.0,0.0113636003807187,73.0,0.0270752077407149,45.0,0.214849831836966,97.0,0.84,97.0,11.34,95.0,17.8468210021106,99.0,19.7359782003305,98.0,10,75.5,96.0,Excellent
TOMORROW X TOGETHER,N,K-Pop,-0.006364162386880793,55.0,3.8345261076493005,87.0,0.0053916098549962,68.0,0.00711743999272585,66.0,0.0250098763047455,41.0,0.258572148148148,100.0,,,,,,,19.7193412533786,98.0,7,73.57142857142857,95.0,Excellent
Eli,Y,Pop,0.36612203193105064,95.0,1.531931923450782,79.0,0.0161317996680737,83.0,0.00220982008613646,55.0,0.0249319475377382,41.0,0.124676462389997,67.0,0.76,86.0,8.31,90.0,27.5943419751253,60.0,20.1237868977919,80.0,10,73.6,95.0,Excellent
beabadoobee,N,Alternative / Indie,0.021506482884109772,70.0,,,0.0182982999831438,85.0,0.0178571008145809,79.0,0.0789877474811495,83.0,0.0858758935809566,35.0,,,,,,,20.0711554789139,84.0,6,72.66666666666667,95.0,Excellent
Peso Pluma,N,Latin,0.06604739099415123,83.0,,,0.020558200776577,86.0,0.0344827994704247,87.0,0.0708487277037178,79.0,0.0971740294511379,44.0,,,,,,,24.7162689435512,51.0,6,71.66666666666667,94.0,Excellent
Love Spells,N,R&B,-0.1137173911178595,15.0,5.014542328812507,87.0,0.0249381996691227,87.0,0.0169491991400719,77.0,0.111808900019264,89.0,0.110280187456377,56.0,,,,,,,19.8599633807985,93.0,7,72.0,94.0,Excellent
Freddie Dredd,Y,Hip-Hop & Rap,0.02091533753179907,70.0,,,-0.000138301998958923,39.0,0.0625,94.0,0.0313996988718804,51.0,0.177716589281215,94.0,0.73,79.0,4.05,56.0,23.0395120834906,80.0,20.0929924060367,82.0,9,71.66666666666667,94.0,Excellent
BabyDrill,Y,Hip-Hop & Rap,0.06981278537039266,84.0,2.173205968517801,84.0,-0.00110445998143405,29.0,0.039723701775074,89.0,0.119403880705544,91.0,0.110290924880591,56.0,0.77,88.0,4.02,55.0,22.2416209185956,84.0,24.8165954407881,48.0,10,70.8,93.0,Excellent
ATEEZ,Y,K-Pop,-0.28266939339217184,4.0,14.627056014910673,90.0,0.00390293006785214,64.0,0.0107527002692223,72.0,0.0231992235529443,39.0,0.16108020723358,91.0,0.75,84.0,19.05,99.0,24.3415208213113,76.0,19.910353681119,91.0,10,71.0,93.0,Excellent
SOMBR,N,Alternative / Indie,-0.12824674543846096,13.0,0.19726053336457677,48.0,0.0207893997430801,86.0,0.0212766006588936,81.0,0.11001369036502,89.0,0.153277672071586,87.0,,,,,,,19.7651057605558,97.0,7,71.57142857142857,93.0,Excellent
Olivia Rodrigo,N,Pop,0.003542846805232886,58.0,,,0.00725245010107756,72.0,0.0,30.0,0.0761388038962052,81.0,0.142217910447761,80.0,,,,,,,19.7682284419679,96.0,6,69.5,92.0,Excellent
Emma Andersen,Y,Pop,-0.11911866150185109,14.0,2.3537928262285166,85.0,0.0124369999393821,79.0,,,0.112302059900313,89.0,0.157435804919117,89.0,0.59,35.0,4.34,60.0,21.9337903475835,89.0,19.8367367394441,94.0,9,70.44444444444444,92.0,Excellent
Zara Larsson,Y,Pop,0.17001219490918193,91.0,0.04238825098101934,36.0,0.0517630018293858,93.0,0.142857000231743,97.0,0.0381720857016238,59.0,0.150891844598526,85.0,0.52,16.0,5.63,73.0,26.9145632279751,66.0,20.0854093099852,83.0,10,69.9,92.0,Excellent
Olivia Dean,N,Pop,-0.1543062646839638,9.0,14.771153879143151,90.0,0.0560377016663551,94.0,0.058823499828577,93.0,0.177091165630801,97.0,0.109409203282925,55.0,,,,,,,24.9270547523388,44.0,7,68.85714285714286,91.0,Excellent
Isaac Dunbar,Y,Pop,-0.02436638485141361,44.0,,,0.0016577000496909,54.0,0.0540356002748013,92.0,0.0428091346521042,63.0,0.163150272047599,91.0,0.76,86.0,2.65,24.0,23.0477006178751,78.0,20.0311196399907,86.0,9,68.66666666666667,91.0,Excellent
Bausa,N,Dance & Electronic,-0.8040644154535929,1.0,51.92144896614824,95.0,0.0437600016593933,92.0,0.0624133013188839,93.0,0.313954517299354,99.0,0.0320646174226627,7.0,,,,,,,19.7435781909597,97.0,7,69.14285714285714,91.0,Excellent
Presley Regier,Y,Pop,-0.007595248577279281,53.0,0.6542531744533493,67.0,0.0137802995741367,82.0,0.0116085996851325,74.0,0.0605362379555928,76.0,0.157602663706992,90.0,0.61,43.0,6.01,77.0,22.8864422729436,81.0,25.0397582726625,39.0,10,68.2,90.0,Excellent
Blessing Jolie,Y,Pop,0.8197405842607967,98.0,0.8156706039484876,71.0,,,,,,,0.136173184357542,76.0,0.8,95.0,2.67,25.0,30.9338422391858,43.0,,,6,68.0,90.0,Excellent
Audrey Hobert,Y,Pop,-0.0686998662704579,25.0,0.7731548155431947,70.0,0.0314383991062641,89.0,0.00837181974202394,67.0,0.167938535490325,96.0,0.0850761495299862,34.0,0.66,61.0,7.86,89.0,25.1312674465499,74.0,24.1653388885202,68.0,10,67.3,89.0,Very Strong
Lizzy McAlpine,Y,Pop,-0.09917980255141698,17.0,19.981682970652823,93.0,0.0204888004809618,85.0,0.0,30.0,0.131307301393674,92.0,0.148264895601555,84.0,0.58,32.0,7.26,88.0,21.5037483947764,97.0,24.470032006289,60.0,10,67.8,89.0,Very Strong
Youngboy Never Broke Again,N,Hip-Hop & Rap,-0.06699755566631438,26.0,0.362321132018472,55.0,0.00835653021931648,74.0,0.0294118002057076,84.0,0.0644142446279127,78.0,0.152541213914514,86.0,,,,,,,24.3256875306738,65.0,7,66.85714285714286,88.0,Very Strong
Doja Cat,Y,Pop,-0.037106990696437574,37.0,307.6582593980919,99.0,0.000141430995427072,42.0,0.0184502005577087,80.0,0.0239808467453042,40.0,0.141659340857048,79.0,0.58,32.0,6.22,79.0,21.9053839958483,90.0,19.9198480334419,91.0,10,66.9,88.0,Very Strong
Sleepy Hallow,Y,Hip-Hop & Rap,0.027289545471774937,72.0,0.1886483247666862,47.0,0.0365745015442371,91.0,-0.00326851010322571,2.0,0.0488651453464166,69.0,0.124835759099263,68.0,0.75,84.0,5.64,74.0,21.8706340649992,91.0,24.102324632107,71.0,10,66.9,88.0,Very Strong
Eem Triplin,Y,Hip-Hop & Rap,-0.11998666871813922,13.0,0.37279082443880257,55.0,0.0374809987843037,91.0,0.0178909003734589,79.0,0.159487290051649,95.0,0.0764070261035543,28.0,0.71,74.0,6.66,83.0,22.2533785483783,82.0,24.1353134812388,69.0,10,66.9,88.0,Very Strong
Nardo Wick,Y,Hip-Hop & Rap,0.005536594149932578,60.0,,,0.00445877993479371,65.0,0.00354331010021269,58.0,0.136577717416008,93.0,0.125174687530755,68.0,0.75,84.0,3.47,39.0,22.1208558505095,85.0,24.9044345298987,45.0,9,66.33333333333333,87.0,Very Strong
Clairo,N,Alternative / Indie,-0.021307175093428755,46.0,,,0.00461533991619945,67.0,0.0,30.0,0.0916575095426398,86.0,0.193833670039315,96.0,,,,,,,20.1928923770295,76.0,6,66.83333333333333,87.0,Very Strong
Sabrina Carpenter,N,Pop,-0.08842933132608824,22.0,-0.39104518350330814,14.0,0.0120647996664047,79.0,0.0351351015269756,88.0,0.0576934915387668,75.0,0.163384872544923,91.0,,,,,,,19.8002024655383,95.0,7,66.28571428571429,87.0,Very Strong
RIIZE,Y,K-Pop,-0.0958099768791896,19.0,0.1337969975134584,44.0,0.0314741991460323,89.0,0.0454545989632607,90.0,0.0420743999206871,62.0,0.234243988347751,99.0,0.65,58.0,6.72,84.0,22.0180397997305,86.0,25.6005099639018,27.0,10,65.8,86.0,Very Strong
Blood Orange,Y,R&B,0.10983431776248342,89.0,1.3607284644764737,77.0,0.013773599639535,81.0,0.0310456994920969,86.0,0.0271888445881841,46.0,0.106873027186641,52.0,0.65,58.0,4.69,64.0,23.0238384467962,80.0,25.973680945297,23.0,10,65.6,86.0,Very Strong
Teezo Touchdown,Y,Hip-Hop & Rap,-0.04243891425283152,33.0,,,0.00506279012188315,67.0,0.0302613992244005,85.0,0.072113625528046,80.0,0.129434002449284,71.0,0.78,91.0,4.2,58.0,25.1975618266362,73.0,25.2111040530309,34.0,9,65.77777777777777,86.0,Very Strong
horsegiirL,Y,Dance & Electronic,0.10246318458559149,87.0,0.985962652207626,73.0,0.0503728985786438,93.0,0.097475603222847,95.0,0.0979378802433557,87.0,0.0345607260412534,8.0,0.62,47.0,4.25,59.0,27.658480851127,59.0,25.0962916737157,38.0,10,64.6,85.0,Very Strong
Travis Scott,Y,Hip-Hop & Rap,-0.028098199194012692,42.0,457.482075472578,100.0,-0.000558145984541625,35.0,0.0399999991059303,89.0,0.0436387668545434,64.0,0.0483908333333333,15.0,0.69,69.0,7.16,87.0,22.0897522315084,85.0,24.3530720361248,65.0,10,65.1,85.0,Very Strong
Alex Warren,N,Pop,0.007248185748076291,61.0,0.22338507891380255,50.0,0.00897233001887798,75.0,0.00480769015848637,60.0,0.063789200925869,78.0,0.102766876346402,48.0,,,,,,,19.9941092683541,87.0,7,65.57142857142857,85.0,Very Strong
Caroline Polachek,N,Alternative / Indie,0.06638862906024169,83.0,,,0.00121585000306368,52.0,0.0298423003405333,84.0,0.0775971365614377,82.0,0.109118367691788,54.0,,,,,,,25.4514752487409,29.0,6,64.0,84.0,Very Strong
Dee Mula,N,Hip-Hop & Rap,-0.011940309490222002,51.0,1.7665919821965994,82.0,0.00547021999955177,69.0,0.00930851045995951,70.0,0.0567689776326207,74.0,,,,,,,,,25.0846450454555,39.0,6,64.16666666666667,84.0,Very Strong
Future,Y,Hip-Hop & Rap,0.009105194147350254,63.0,50.74756717109165,95.0,0.000666752981487662,47.0,0.0057270098477602,62.0,0.032828564850815,52.0,0.143526836821415,81.0,0.62,47.0,6.99,85.0,25.2760876261655,72.0,25.1449464493569,36.0,10,64.0,84.0,Very Strong
Skillibeng,Y,Reggae / Caribbean,0.06788674342746229,83.0,3.0015812551716987,85.0,0.00182612997014076,57.0,0.0325701013207436,86.0,0.0527023357300064,72.0,0.145438105636686,83.0,0.71,74.0,3.15,32.0,30.9726540963723,42.0,25.7687771899425,25.0,10,63.9,83.0,Very Strong
Harry Styles,Y,Pop,2.614909104219527,99.0,-0.42965576932880684,13.0,-0.000522311020176858,36.0,0.0,30.0,0.0470915960687901,67.0,0.136089066285768,75.0,0.7,72.0,23.1,100.0,27.4841216085835,64.0,20.0979858817434,82.0,10,63.8,83.0,Very Strong
Tate McRae,Y,Pop,-0.10865956105475935,15.0,0.18413204821003462,46.0,0.0105991996824741,77.0,0.0,30.0,0.102049799529281,88.0,0.116330754352031,64.0,0.56,27.0,11.48,96.0,21.5064159115576,96.0,19.8708544802962,93.0,10,63.2,82.0,Very Strong
CA7RIEL & Paco Amoroso,Y,Latin,0.682916919362124,97.0,-0.17531548032384459,20.0,0.0757939964532852,97.0,0.101397000253201,96.0,0.124585058306612,91.0,0.0448334438250783,13.0,0.74,81.0,13.31,97.0,33.9879825039895,35.0,34.6183470227909,4.0,10,63.1,82.0,Very Strong
Noah Kahan,N,Alternative / Indie,-0.02971785958569586,40.0,-0.7066269196833629,6.0,0.00995489023625851,76.0,0.0303029995411634,85.0,0.077539729091926,81.0,0.152628904868796,86.0,,,,,,,20.2753328115915,72.0,7,63.714285714285715,82.0,Very Strong
Ella Langley,Y,Country,0.11032858844779864,89.0,3.2665704929490134,86.0,0.164746001362801,99.0,0.107142999768257,96.0,0.131127920059387,92.0,0.104353115084979,50.0,0.38,2.0,10.54,94.0,38.173521332763,16.0,33.9541226260307,6.0,10,63.0,81.0,Very Strong
Geese,N,Alternative / Indie,-0.09203679342883338,20.0,0.47557722779424766,62.0,0.0750385001301765,97.0,0.0822367966175079,94.0,0.161927109285228,96.0,0.10850509357972,53.0,,,,,,,29.2983802216539,14.0,7,62.285714285714285,81.0,Very Strong
Isabel LaRosa,Y,Pop,-0.035668294318448215,37.0,-0.5220989337568684,9.0,0.0134987998753786,81.0,0.0,30.0,0.0302222418343195,48.0,0.168343279340722,92.0,0.7,72.0,5.07,68.0,21.0421990970048,98.0,19.8893357331683,93.0,10,62.8,81.0,Very Strong
Joey Valence & Brae,Y,Hip-Hop & Rap,-0.037936762318760836,36.0,0.07588000583727622,38.0,-0.000824287009891123,33.0,0.0909091010689735,95.0,0.0428200568651877,64.0,0.0934735706580367,41.0,0.76,86.0,12.6,97.0,27.7930765615423,56.0,20.2064836963881,75.0,10,62.1,80.0,Very Strong
